iter	Passed	Remaining
0	0	27
1	0	28
2	0	27
3	1	25
4	1	26
5	1	27
6	2	36
7	2	34
8	3	32
9	3	31
10	3	30
11	4	29
12	4	29
13	4	29
14	5	28
15	5	28
16	5	27
17	5	26
18	6	26
19	6	25
20	6	25
21	7	25
22	7	24
23	7	24
24	8	24
25	8	23
26	8	23
27	8	23
28	9	22
29	9	22
30	9	22
31	10	21
32	10	21
33	10	20
34	11	20
35	11	20
36	11	19
37	11	19
38	12	19
39	12	18
40	12	18
41	12	17
42	13	17
43	13	17
44	13	16
45	14	16
46	14	16
47	14	15
48	15	15
49	15	15
50	15	15
51	16	14
52	16	14
53	16	14
54	16	13
55	17	13
56	17	13
57	17	12
58	18	12
59	18	12
60	18	12
61	19	11
62	19	11
63	20	11
64	20	10
65	20	10
66	20	10
67	21	10
68	21	9
69	22	9
70	22	9
71	22	8
72	23	8
73	23	8
74	23	7
75	24	7
76	24	7
77	24	6
78	25	6
79	25	6
80	25	6
81	25	5
82	26	5
83	26	5
84	26	4
85	27	4
86	27	4
87	27	3
88	28	3
89	28	3
90	28	2
91	29	2
92	29	2
93	29	1
94	30	1
95	30	1
96	30	0
97	31	0
98	31	0
99	31	0
